Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle,Time (Intervals),Date (Intervals)
2,1,3/20/2012,1910,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,33,Pedal cycle,1600-1959,March
2,1,3/21/2012,725,B,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,26,Pedal cycle,400-759,March
1,1,3/21/2012,1552,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,13,Bus or coach (17 or more passenger seats),1200-1559,March
2,1,3/21/2012,907,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,16,M/cycle 50cc and under,800-1159,March
1,1,3/21/2012,1550,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,4,Car,1200-1559,March
2,1,3/21/2012,1739,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,32,Motorcycle over 50cc and up to 125cc,1600-1959,March
3,1,3/21/2012,1800,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,26,Pedal cycle,1600-1959,March
1,1,3/21/2012,1512,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,3,Car,1200-1559,March
1,1,3/21/2012,1722,Motorway,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,34,Motorcycle over 500cc,1600-1959,March
2,1,3/21/2012,2220,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,36,Taxi/Private hire car,2000-2359,March
2,2,3/22/2012,1020,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,45,Car,800-1159,March
2,2,3/22/2012,1020,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,31,Car,800-1159,March
1,1,3/22/2012,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,81,Car,1600-1959,March
2,1,3/22/2012,1525,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,32,Car,1200-1559,March
2,2,3/22/2012,1400,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,30,Car,1200-1559,March
2,2,3/22/2012,1400,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,29,Car,1200-1559,March
2,1,3/22/2012,1705,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,56,Pedal cycle,1600-1959,March
2,1,3/22/2012,1225,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car,1200-1559,March
3,1,3/22/2012,1450,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,22,Car,1200-1559,March
2,1,3/22/2012,1505,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Pedal cycle,1200-1559,March
2,1,3/22/2012,740,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Pedal cycle,400-759,March
2,2,3/23/2012,1409,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,Car,1200-1559,March
2,2,3/23/2012,1409,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,21,Car,1200-1559,March
2,1,3/23/2012,1520,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,68,Car,1200-1559,March
2,1,3/23/2012,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,15,Pedal cycle,1200-1559,March
2,1,3/23/2012,1600,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Car,1600-1959,March
1,2,3/23/2012,1330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,17,Car,1200-1559,March
1,2,3/23/2012,1330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,25,Car,1200-1559,March
2,1,3/23/2012,1315,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Motorcycle over 50cc and up to 125cc,1200-1559,March
1,1,3/24/2012,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,5,Bus or coach (17 or more passenger seats),1200-1559,March
2,1,3/25/2012,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,29,Car,1200-1559,March
1,3,3/25/2012,350,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,37,Car,0-359,March
1,3,3/25/2012,350,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,28,Car,0-359,March
1,3,3/25/2012,350,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,39,Car,0-359,March
1,1,3/25/2012,115,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,50,Car,0-359,March
2,1,3/25/2012,1930,Motorway,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,23,Car,1600-1959,March
2,1,3/26/2012,810,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Motorcycle over 50cc and up to 125cc,800-1159,March
2,1,3/26/2012,905,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,40,Pedal cycle,800-1159,March
2,2,3/26/2012,1410,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,61,Car,1200-1559,March
2,2,3/26/2012,1410,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,33,Car,1200-1559,March
1,1,3/26/2012,1317,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,61,Car,1200-1559,March
2,1,3/26/2012,1220,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car,1200-1559,March
2,1,3/26/2012,1555,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,53,Car,1200-1559,March
4,3,3/26/2012,1725,Motorway,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,34,Car,1600-1959,March
4,3,3/26/2012,1725,Motorway,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,27,Goods vehicle 3.5 tonnes mgw and under,1600-1959,March
4,3,3/26/2012,1725,Motorway,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,42,Car,1600-1959,March
2,2,3/26/2012,1640,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,37,Car,1600-1959,March
2,2,3/26/2012,1640,Motorway,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,18,Car,1600-1959,March
3,1,3/26/2012,1650,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,56,Car,1600-1959,March
2,5,3/26/2012,2255,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,30,Car,2000-2359,March
2,5,3/26/2012,2255,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,49,Car,2000-2359,March
2,5,3/26/2012,2255,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,39,Car,2000-2359,March
2,5,3/26/2012,2255,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,21,Car,2000-2359,March
2,5,3/26/2012,2255,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,39,Car,2000-2359,March
2,3,3/26/2012,1140,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,38,Car,800-1159,March
2,3,3/26/2012,1140,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,49,Car,800-1159,March
2,3,3/26/2012,1140,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,23,Car,800-1159,March
2,2,3/27/2012,730,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,36,Car,400-759,March
2,2,3/27/2012,730,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,28,Car,400-759,March
2,1,3/27/2012,805,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,63,Goods vehicle 3.5 tonnes mgw and under,800-1159,March
2,1,3/27/2012,830,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,15,Pedal cycle,800-1159,March
1,1,3/27/2012,1715,B,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,13,Car,1600-1959,March
1,1,3/27/2012,1715,A,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,18,Car,1600-1959,March
3,1,3/27/2012,905,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,60,Car,800-1159,March
1,1,3/27/2012,1505,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,39,Car,1200-1559,March
2,1,3/27/2012,1700,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,25,Pedal cycle,1600-1959,March
2,1,3/28/2012,950,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Pedal cycle,800-1159,March
1,1,3/28/2012,1146,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,64,Car,800-1159,March
2,1,3/28/2012,1454,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,43,Bus or coach (17 or more passenger seats),1200-1559,March
1,1,3/28/2012,1800,A(M),Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,80,Bus or coach (17 or more passenger seats),1600-1959,March
2,1,3/28/2012,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,36,Motorcycle over 125cc and up to 500cc,1200-1559,March
3,1,3/28/2012,1740,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,24,Car,1600-1959,March
1,1,3/28/2012,1550,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,50,Goods vehicle 3.5 tonnes mgw and under,1200-1559,March
2,1,3/29/2012,856,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Pedal cycle,800-1159,March
1,2,3/29/2012,1518,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,21,Car,1200-1559,March
1,2,3/29/2012,1518,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,33,Car,1200-1559,March
2,1,3/29/2012,2214,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,26,Car,2000-2359,March
2,1,3/30/2012,907,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,29,Car,800-1159,March
1,1,3/30/2012,1325,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,79,Bus or coach (17 or more passenger seats),1200-1559,March
2,1,3/30/2012,1445,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,17,Pedal cycle,1200-1559,March
1,3,3/30/2012,1420,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,33,Bus or coach (17 or more passenger seats),1200-1559,March
1,3,3/30/2012,1420,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,5,Bus or coach (17 or more passenger seats),1200-1559,March
1,3,3/30/2012,1420,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,86,Bus or coach (17 or more passenger seats),1200-1559,March
2,1,3/30/2012,1735,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,46,Car,1600-1959,March
2,1,3/30/2012,2210,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,28,Car,2000-2359,March
2,1,3/30/2012,2340,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,56,Bus or coach (17 or more passenger seats),2000-2359,March
2,1,3/30/2012,1115,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,16,Motorcycle over 50cc and up to 125cc,800-1159,March
2,1,3/30/2012,1520,A(M),Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,6,Car,1200-1559,March
2,1,3/30/2012,830,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,16,Pedal cycle,800-1159,March
1,1,3/31/2012,845,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,79,Car,800-1159,March
2,1,3/31/2012,1707,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,11,Pedal cycle,1600-1959,March
1,1,3/31/2012,1640,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,20,Motorcycle over 500cc,1600-1959,March
2,1,4/1/2012,1118,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,59,Car,800-1159,April
2,1,4/1/2012,1605,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49,M/cycle 50cc and under,1600-1959,April
2,1,4/1/2012,1720,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,14,Pedal cycle,1600-1959,April
1,2,4/2/2012,953,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49,Bus or coach (17 or more passenger seats),800-1159,April
1,2,4/2/2012,953,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,70,Bus or coach (17 or more passenger seats),800-1159,April
1,1,4/2/2012,1700,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,47,Car,1600-1959,April
1,1,4/2/2012,1449,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,68,Bus or coach (17 or more passenger seats),1200-1559,April
2,1,4/2/2012,1645,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,56,Car,1600-1959,April
2,1,4/2/2012,1833,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,22,Car,1600-1959,April
1,1,4/2/2012,1250,A(M),Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,39,Car,1200-1559,April
1,1,4/2/2012,2320,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Driver,Serious,Male,23,Motorcycle over 500cc,2000-2359,April
1,1,4/3/2012,1027,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,98,Bus or coach (17 or more passenger seats),800-1159,April
2,1,4/3/2012,1450,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,22,Minibus (8 – 16 passenger seats),1200-1559,April
2,3,4/3/2012,1205,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,76,Car,1200-1559,April
2,3,4/3/2012,1205,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Car,1200-1559,April
2,3,4/3/2012,1205,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,22,Car,1200-1559,April
2,1,4/3/2012,1630,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,41,Car,1600-1959,April
1,1,4/3/2012,2200,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Female,32,Car,2000-2359,April
2,1,4/4/2012,908,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Pedal cycle,800-1159,April
2,1,4/4/2012,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,10,Pedal cycle,1200-1559,April
3,1,4/4/2012,1550,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,33,Car,1200-1559,April
2,1,4/4/2012,1905,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,39,Car,1600-1959,April
2,1,4/5/2012,805,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,62,Car,800-1159,April
2,1,4/5/2012,843,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,65,Bus or coach (17 or more passenger seats),800-1159,April
3,2,4/5/2012,1503,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,35,Car,1200-1559,April
3,2,4/5/2012,1503,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,37,Car,1200-1559,April
3,1,4/5/2012,1632,A(M),Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,33,Car,1600-1959,April
1,1,4/5/2012,1930,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,63,Car,1600-1959,April
2,1,4/5/2012,1435,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,19,Car,1200-1559,April
2,1,4/5/2012,2150,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car,2000-2359,April
1,1,4/5/2012,1144,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,57,Car,800-1159,April
2,2,4/6/2012,1435,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,Car,1200-1559,April
2,2,4/6/2012,1435,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Motorcycle over 500cc,1200-1559,April
2,1,4/6/2012,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,44,Car,1600-1959,April
2,1,4/6/2012,1312,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,51,Car,1200-1559,April
1,1,4/6/2012,1730,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,37,Car,1600-1959,April
2,2,4/7/2012,10,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,46,Taxi/Private hire car,0-359,April
2,2,4/7/2012,10,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,18,Taxi/Private hire car,0-359,April
1,1,4/7/2012,45,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,23,Car,0-359,April
3,5,4/7/2012,2350,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,31,Car,2000-2359,April
3,5,4/7/2012,2350,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,50,Taxi/Private hire car,2000-2359,April
3,5,4/7/2012,2350,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,19,Car,2000-2359,April
3,5,4/7/2012,2350,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,32,Car,2000-2359,April
3,5,4/7/2012,2350,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,25,Car,2000-2359,April
2,2,4/7/2012,1905,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,48,Car,1600-1959,April
2,2,4/7/2012,1905,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,25,Car,1600-1959,April
1,1,4/8/2012,1210,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,67,Bus or coach (17 or more passenger seats),1200-1559,April
2,1,4/8/2012,1500,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,41,Car,1200-1559,April
1,1,4/9/2012,330,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,24,Taxi/Private hire car,0-359,April
2,2,4/9/2012,705,Unclassified,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Driver,Slight,Male,26,Car,400-759,April
2,2,4/9/2012,705,Unclassified,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Driver,Slight,Male,41,Car,400-759,April
2,1,4/9/2012,1410,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,41,Motorcycle over 50cc and up to 125cc,1200-1559,April
2,1,4/9/2012,1825,B,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,46,Car,1600-1959,April
2,3,4/9/2012,1745,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,31,Car,1600-1959,April
2,3,4/9/2012,1745,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,30,Car,1600-1959,April
2,3,4/9/2012,1745,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,22,Car,1600-1959,April
1,1,4/9/2012,1226,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,37,Car,1200-1559,April
1,1,4/10/2012,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,39,Car,1600-1959,April
2,1,4/10/2012,1530,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,47,Pedal cycle,1200-1559,April
2,1,4/11/2012,930,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,61,Car,800-1159,April
2,1,4/11/2012,1905,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,14,Pedal cycle,1600-1959,April
1,1,4/12/2012,1635,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,80,Bus or coach (17 or more passenger seats),1600-1959,April
1,1,4/12/2012,1750,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,14,Car,1600-1959,April
1,1,4/12/2012,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,46,Goods vehicle 3.5 tonnes mgw and under,1200-1559,April
3,3,4/12/2012,1230,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,32,Car,1200-1559,April
3,3,4/12/2012,1230,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,18,Car,1200-1559,April
3,3,4/12/2012,1230,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,56,Car,1200-1559,April
2,1,4/13/2012,752,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,48,Motorcycle over 500cc,400-759,April
3,2,4/13/2012,950,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,27,Car,800-1159,April
3,2,4/13/2012,950,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,11,Car,800-1159,April
2,1,4/13/2012,800,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Pedal cycle,800-1159,April
2,1,4/13/2012,1315,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,16,Pedal cycle,1200-1559,April
1,1,4/13/2012,1520,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,7,Car,1200-1559,April
2,1,4/13/2012,1721,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,40,Car,1600-1959,April
2,1,4/13/2012,930,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,37,Car,800-1159,April
2,1,4/14/2012,1306,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,56,Car,1200-1559,April
2,2,4/14/2012,2245,A,Dry,Darkness: no street lighting,Fine without high winds,Pedestrian,Fatal,Male,20,Car,2000-2359,April
2,2,4/14/2012,2245,A,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,51,Car,2000-2359,April
2,2,4/14/2012,1749,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,6,Car,1600-1959,April
2,2,4/14/2012,1749,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,38,Car,1600-1959,April
1,1,4/15/2012,1140,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Fatal,Male,78,Bus or coach (17 or more passenger seats),800-1159,April
1,1,4/15/2012,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,19,Taxi/Private hire car,1200-1559,April
2,4,4/16/2012,1057,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,27,Car,800-1159,April
2,4,4/16/2012,1057,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,51,Car,800-1159,April
2,4,4/16/2012,1057,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Car,800-1159,April
2,4,4/16/2012,1057,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,1,Car,800-1159,April
2,1,4/17/2012,1255,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,44,Pedal cycle,1200-1559,April
1,1,4/17/2012,1555,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,49,Bus or coach (17 or more passenger seats),1200-1559,April
2,2,4/17/2012,1730,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,31,Car,1600-1959,April
2,2,4/17/2012,1730,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,30,Car,1600-1959,April
2,4,4/17/2012,1914,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,19,Car,1600-1959,April
2,4,4/17/2012,1914,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,26,Car,1600-1959,April
2,4,4/17/2012,1914,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,24,Car,1600-1959,April
2,4,4/17/2012,1914,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,22,Car,1600-1959,April
1,1,4/17/2012,1810,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,5,Car,1600-1959,April
2,1,4/17/2012,1310,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,28,Car,1200-1559,April
2,1,4/17/2012,925,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,26,Bus or coach (17 or more passenger seats),800-1159,April
1,1,4/17/2012,1515,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,55,Car,1200-1559,April
1,1,4/18/2012,830,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,20,Motorcycle over 50cc and up to 125cc,800-1159,April
1,1,4/18/2012,805,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,21,Car,800-1159,April
2,1,4/18/2012,1645,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,25,Car,1600-1959,April
2,1,4/18/2012,1915,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver,Slight,Male,24,Car,1600-1959,April
2,4,4/19/2012,40,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,24,Car,0-359,April
2,4,4/19/2012,40,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,21,Car,0-359,April
2,4,4/19/2012,40,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car,0-359,April
2,4,4/19/2012,40,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,22,Car,0-359,April
1,1,4/19/2012,625,A,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Driver,Serious,Male,51,Motorcycle over 50cc and up to 125cc,400-759,April
